ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
62,z,-0.210620212,1.2946094347,1520,-0.162690157,0.8707840225,0.05,-2.750030164,2.3287897395
63,z,1.1717804608,0.9668884555,1520,1.2119086273,0.2257357124,0.05,-0.724796298,3.0683572199
64,z,-0.193575775,1.30454992,1520,-0.148385104,0.8820585374,0.05,-2.752484246,2.365332696
65,z,-0.195993559,1.3032464298,1520,-0.150388717,0.8804778957,0.05,-2.7523452,2.3603580823
66,z,1.3083981727,1.0036642556,1520,1.3036213707,0.1925601157,0.05,-0.660315271,3.2771116168
67,z,1.373352998,1.0197915258,1520,1.346699755,0.1782777119,0.05,-0.626994504,3.3737005005
68,z,-0.267778432,1.2634168655,1520,-0.211947805,0.8321761703,0.05,-2.74600335,2.2104464873
69,z,-0.166299994,1.3212328477,1520,-0.125867287,0.8998536232,0.05,-2.757932461,2.4253324716
70,z,-0.103433921,1.362080492,1520,-0.075938185,0.9394782704,0.05,-2.775190099,2.5683222581
71,z,3.6039240313,0.6320096615,1520,5.7023242691,1.4176366E-8,0.05,2.3642207037,4.8436273588
72,z,-0.161150319,1.3246719389,1520,-0.121653003,0.9031899154,0.05,-2.759528651,2.4372280138
73,z,-0.257457046,1.2680151783,1520,-0.203039404,0.8391314086,0.05,-2.744701675,2.2297875822
74,z,-0.270001022,1.2614571429,1520,-0.214038998,0.8305453538,0.05,-2.744381895,2.2043798499
75,z,-0.210926059,1.2951779884,1520,-0.162854882,0.8706543429,0.05,-2.751451243,2.3295991258
76,z,-0.221086361,1.2890283535,1520,-0.171513962,0.8638424825,0.05,-2.749548877,2.3073761557
77,z,-0.421127264,1.1896571329,1520,-0.353990451,0.7233951363,0.05,-2.754670557,1.9124160277
78,z,-0.42952216,1.1853297045,1520,-0.362365136,0.7171295634,0.05,-2.754577089,1.8955327694
79,z,-0.187235343,1.3085077779,1520,-0.143090738,0.8862374855,0.05,-2.753907255,2.3794365687
80,z,-0.007506211,1.4328088776,1520,-0.005238809,0.9958207421,0.05,-2.817997951,2.8029855285
81,z,-0.011724831,1.4294474187,1520,-0.008202352,0.9934566199,0.05,-2.815622982,2.7921733206
82,z,-0.219434706,1.2897872591,1520,-0.170132481,0.864928591,0.05,-2.749385835,2.3105164236
83,z,-0.142961674,1.335915548,1520,-0.107014006,0.9147919906,0.05,-2.763394638,2.4774712889
84,z,-0.149653328,1.3316152721,1520,-0.112384809,0.9105331394,0.05,-2.761651188,2.4623445331
85,z,-0.176820876,1.3148097852,1520,-0.134483997,0.8930376689,0.05,-2.755854338,2.402212587
86,z,-0.131631949,1.3431900051,1520,-0.0979995,0.9219456114,0.05,-2.766333948,2.5030700508
87,z,1.3493327515,1.0199548741,1520,1.3229337746,0.1860563855,0.05,-0.651335163,3.3500006657
88,z,-0.377962375,1.2076656058,1520,-0.312969396,0.7543468488,0.05,-2.746829753,1.9909050035
89,z,-0.302122835,1.2450987666,1520,-0.242649694,0.8083095183,0.05,-2.744416328,2.1401706587
90,z,-0.287808941,1.251752867,1520,-0.229924731,0.8181811954,0.05,-2.743154625,2.1675367421
91,z,1.1444947312,0.9653881727,1520,1.1855280224,0.2359940427,0.05,-0.749139184,3.0381286468
92,z,1.1433068324,0.9636266017,1520,1.1864625057,0.2356251121,0.05,-0.746871716,3.0334853808
93,z,-0.063179748,1.390396556,1520,-0.045440092,0.9637624937,0.05,-2.79047862,2.6641191243
94,z,-0.094321543,1.3682639122,1520,-0.068935198,0.9450502685,0.05,-2.778206661,2.5895635744
95,z,-0.154734581,1.3284355272,1520,-0.116478804,0.907288471,0.05,-2.76049529,2.4510261277
96,z,-0.118917688,1.3516146226,1520,-0.087981948,0.9299026132,0.05,-2.770144792,2.5323094172
97,z,-0.131622235,1.3432384431,1520,-0.097988734,0.9219541584,0.05,-2.766419247,2.5031747768
98,z,-0.313152245,1.239818505,1520,-0.252579103,0.800627631,0.05,-2.745088369,2.1187838779
