ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
54,z,2.7603503022,0.6951827694,1520,3.9706828532,0.0000750148,0.05,1.3967312867,4.1239693178
55,z,1.6991761684,1.1707029478,1520,1.4514152984,0.1468706036,0.05,-0.597187999,3.9955403354
56,z,-0.130875668,1.3097133935,1520,-0.099926953,0.9204154956,0.05,-2.699912427,2.4381610898
57,z,-0.095670419,1.3324845166,1520,-0.071798522,0.9427716944,0.05,-2.709373326,2.5180324868
58,z,-0.184365286,1.2775171045,1520,-0.144315317,0.885270615,0.05,-2.690248189,2.3215176173
59,z,-0.144312296,1.3012538736,1520,-0.110902491,0.9117083118,0.05,-2.696755486,2.4081308951
60,z,-0.25391872,1.2391469562,1520,-0.20491413,0.8376666512,0.05,-2.684537583,2.1767001426
61,z,-0.011721217,1.3921050843,1520,-0.008419779,0.9932831724,0.05,-2.742371412,2.7189289773
62,z,-0.208250518,1.2636817963,1520,-0.164796643,0.8691259586,0.05,-2.686995106,2.2704940695
63,z,1.1218492668,0.9677721172,1520,1.1592080892,0.2465534459,0.05,-0.776460818,3.0201593512
64,z,-0.191624868,1.2729894147,1520,-0.150531391,0.8803653591,0.05,-2.68862659,2.3053768547
65,z,-0.194531929,1.2715369819,1520,-0.152989596,0.8784267863,0.05,-2.688684666,2.299620809
66,z,1.2518464407,1.0047504833,1520,1.245927682,0.2129829479,0.05,-0.718997667,3.2226905485
67,z,1.3121588778,1.0215849479,1520,1.2844344276,0.1991857146,0.05,-0.691706469,3.3160242241
68,z,-0.264072071,1.233833937,1520,-0.214025619,0.8305557852,0.05,-2.68426931,2.1561251665
69,z,-0.164419956,1.2887806626,1520,-0.127577919,0.8984998814,0.05,-2.69239662,2.3635567085
70,z,-0.102629183,1.3277866769,1520,-0.077293427,0.9384002922,0.05,-2.707117155,2.501858789
71,z,3.5154403919,0.6499801499,1520,5.4085350028,7.3704827E-8,0.05,2.2404874858,4.790393298
72,z,-0.159276764,1.2925817906,1520,-0.123223741,0.9019462171,0.05,-2.694709439,2.3761559116
73,z,-0.256332722,1.2378648291,1520,-0.207076505,0.8359778474,0.05,-2.68443666,2.1717712151
74,z,-0.268747981,1.2313558241,1520,-0.218253713,0.8272607337,0.05,-2.684084337,2.1465883742
75,z,-0.209207456,1.263763257,1520,-0.165543234,0.8685384377,0.05,-2.688111831,2.2696969185
76,z,-0.21855442,1.2579933719,1520,-0.173732569,0.8620987741,0.05,-2.686141016,2.2490321757
77,z,-0.415973734,1.1631941222,1520,-0.357613339,0.720682343,0.05,-2.697609145,1.865661677
78,z,-0.424911132,1.158718548,1520,-0.366707802,0.7138880262,0.05,-2.697767588,1.8479453243
79,z,-0.185392219,1.2767110069,1520,-0.145210794,0.8845636959,0.05,-2.689693941,2.3189095024
80,z,-0.007557694,1.3952950493,1520,-0.005416556,0.9956789453,0.05,-2.744465088,2.7293496995
81,z,-0.011794324,1.3920340681,1520,-0.008472726,0.9932409352,0.05,-2.742305218,2.7187165708
82,z,-0.21806935,1.258607022,1520,-0.173262461,0.8624681986,0.05,-2.686859636,2.2507209367
83,z,-0.14283168,1.3031586149,1520,-0.109604218,0.9127377335,0.05,-2.699011071,2.4133477097
84,z,-0.14791199,1.2989231586,1520,-0.113872779,0.9093536824,0.05,-2.695783423,2.3999594425
85,z,-0.176865909,1.2831611752,1520,-0.137836082,0.8903882236,0.05,-2.693819803,2.3400879853
86,z,-0.129985944,1.3099162775,1520,-0.099232253,0.9209669518,0.05,-2.699420664,2.4394487767
87,z,1.2851311254,1.0212261427,1520,1.2584197287,0.2084332578,0.05,-0.718030415,3.288292666
88,z,-0.376183698,1.1800485962,1520,-0.318786615,0.7499321276,0.05,-2.690879596,1.9385122006
89,z,-0.298236213,1.21618236,1520,-0.245223268,0.8063166636,0.05,-2.683809426,2.0873369995
90,z,-0.284849639,1.2221790844,1520,-0.233067021,0.8157407433,0.05,-2.682185581,2.1124863041
91,z,1.0788557471,0.9649120912,1520,1.1180870847,0.2637064797,0.05,-0.813844322,2.9715558166
92,z,1.0867732083,0.9630018928,1520,1.1285265548,0.259275694,0.05,-0.802179957,2.975726374
93,z,-0.063267216,1.3545292404,1520,-0.0467079,0.9627521696,0.05,-2.72021142,2.5936769869
94,z,-0.093516441,1.3337038474,1520,-0.070117846,0.9441090858,0.05,-2.709611097,2.5225782139
95,z,-0.153357057,1.2955582683,1520,-0.118371409,0.9057890195,0.05,-2.694628171,2.3879140561
96,z,-0.118384394,1.3180615303,1520,-0.089817046,0.9284444349,0.05,-2.703796239,2.4670274513
97,z,-0.130832016,1.3099252035,1520,-0.099877471,0.9204547736,0.05,-2.700284245,2.438620213
98,z,-0.310797539,1.2108618243,1520,-0.256674653,0.7974646765,0.05,-2.685934383,2.0643393053
99,z,-0.253629515,1.2395731191,1520,-0.20461037,0.8379039462,0.05,-2.685084307,2.1778252779
100,z,-0.130835501,1.3094978015,1520,-0.099912731,0.920426785,0.05,-2.69944937,2.437778368
101,z,-0.148262447,1.2987771188,1520,-0.11415542,0.9091296668,0.05,-2.695847419,2.3993225247
102,z,-0.225971257,1.2541306334,1520,-0.180181594,0.8570340257,0.05,-2.685980991,2.2340384772
103,z,-0.25862341,1.2360370354,1520,-0.209235971,0.8342920703,0.05,-2.683142082,2.1658952631
104,z,-0.09223955,1.3345478365,1520,-0.069116706,0.9449058146,0.05,-2.709989712,2.5255106115
105,z,-0.315382715,1.210241695,1520,-0.260594819,0.794440284,0.05,-2.689303159,2.0585377291
106,z,-0.143475913,1.3015156019,1520,-0.110237567,0.9122355222,0.05,-2.696432491,2.4094806643
107,z,-0.160440065,1.2912390258,1520,-0.124252801,0.9011315461,0.05,-2.693238873,2.3723587421
108,z,-0.114179069,1.320234353,1520,-0.08648394,0.9310931129,0.05,-2.703852962,2.4754948244
109,z,-0.303578608,1.2137744712,1520,-0.250111215,0.8025351416,0.05,-2.684428684,2.0772714678
110,z,-0.174565793,1.2835676293,1520,-0.136000464,0.8918389232,0.05,-2.692316957,2.3431853717
111,z,-0.218258764,1.2584848099,1520,-0.173429796,0.8623366979,0.05,-2.686809328,2.2502917997
112,z,1.5629841196,1.1180684279,1520,1.3979324347,0.1623373168,0.05,-0.630136073,3.756104312
