ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
1053,z,-0.041615581,0.9616932235,1520,-0.043273239,0.965489407,0.05,-1.928001758,1.8447705962
1054,z,-0.151053359,0.8709195327,1520,-0.173441234,0.8623277096,0.05,-1.859384589,1.5572778717
1055,z,-0.124115165,0.8919298039,1520,-0.139153513,0.8893472766,0.05,-1.873658587,1.6254282566
1056,z,0.86381854,0.6449560713,1520,1.3393447684,0.180658691,0.05,-0.401279506,2.1289165858
1057,z,-0.253703603,0.796867968,1520,-0.318375958,0.7502435108,0.05,-1.81678077,1.3093735647
1058,z,-0.106936034,0.9058558225,1520,-0.118049729,0.9060438527,0.05,-1.883795702,1.6699236338
1059,z,-0.136919432,0.8817853809,1520,-0.155275234,0.8766249553,0.05,-1.866564305,1.5927254414
1060,z,-0.132869723,0.8850309398,1520,-0.150130031,0.8806819452,0.05,-1.868880844,1.6031413982
1061,z,0.7245979138,0.5920970429,1520,1.2237823553,0.2212240064,0.05,-0.436815778,1.8860116057
1062,z,-0.235838378,0.8092129849,1520,-0.291441663,0.7707533199,0.05,-1.823130616,1.3514538595
1063,z,-0.106522218,0.9062545868,1520,-0.117541163,0.9064467556,0.05,-1.884164073,1.6711196362
1064,z,-0.141424911,0.8785084027,1520,-0.160982992,0.8721281892,0.05,-1.864641906,1.5817920847
1065,z,-0.173237069,0.8539953922,1520,-0.202854805,0.8392756697,0.05,-1.848371159,1.5018970214
1066,z,-0.135392482,0.8830559964,1520,-0.153322647,0.8781641938,0.05,-1.867529701,1.596744736
1067,z,-0.09598252,0.9148527967,1520,-0.104915808,0.9164564578,0.05,-1.890489986,1.6985249462
1068,z,-0.153198042,0.8691922281,1520,-0.17625335,0.8601183884,0.05,-1.85814112,1.5517450356
1069,z,-0.152423366,0.869670308,1520,-0.17526569,0.8608942137,0.05,-1.85830421,1.5534574776
1070,z,-0.157132172,0.8660541073,1520,-0.18143459,0.8560506605,0.05,-1.855919744,1.5416554004
1071,z,-0.11690321,0.8977499326,1520,-0.130218011,0.8964111758,0.05,-1.877862965,1.6440565447
1072,z,1.0960388943,0.522910707,1520,2.0960345229,0.0362441331,0.05,0.070335993,2.1217417956
1073,z,-0.117045175,0.8976530991,1520,-0.130390209,0.896274966,0.05,-1.877814989,1.6437246384
1074,z,0.8224391286,0.6264895397,1520,1.3127739196,0.1894573085,0.05,-0.406436337,2.0513145941
1075,z,-0.132067083,0.8856107706,1520,-0.149125426,0.8814744455,0.05,-1.869215557,1.6050813909
1076,z,-0.198867192,0.8349680274,1520,-0.238173422,0.8117786927,0.05,-1.836678613,1.438944229
1077,z,-0.209114627,0.8276719085,1520,-0.25265401,0.8005697512,0.05,-1.832614521,1.4143852681
1078,z,0.7061111637,0.5883923274,1520,1.2000686121,0.2302997012,0.05,-0.448035633,1.8602579602
1079,z,0.9571904199,0.6752103715,1520,1.4176180645,0.1565072567,0.05,-0.36725222,2.2816330593
1080,z,-0.142047057,0.8779399143,1520,-0.161795876,0.8714881042,0.05,-1.864148948,1.5800548335
1081,z,-0.188753287,0.8423764745,1520,-0.224072363,0.8227311103,0.05,-1.841096569,1.463589995
1082,z,-0.136729663,0.8819367721,1520,-0.155033407,0.8768155642,0.05,-1.866671493,1.5932121682
1083,z,2.1318986836,0.6764865445,1520,3.1514280672,0.0016564383,0.05,0.8049527975,3.4588445696
1084,z,-0.129052277,0.8880153627,1520,-0.145326627,0.8844722608,0.05,-1.870917421,1.6128128668
1085,z,-0.110738181,0.9027151646,1520,-0.122672339,0.9023827852,0.05,-1.881437367,1.6599610053
1086,z,0.9210036735,0.6609490709,1520,1.3934563402,0.1636855536,0.05,-0.375465055,2.2174724024
1087,z,0.7621748395,0.6072867988,1520,1.255049247,0.209653806,0.05,-0.429033952,1.9533836311
1088,z,-0.133945139,0.8842674768,1520,-0.151475818,0.879620486,0.05,-1.868458708,1.6005684293
1089,z,0.9374911451,0.6698141453,1520,1.3996287652,0.1618285655,0.05,-0.376366657,2.2513489471
1090,z,-0.20680959,0.8293806336,1520,-0.249354255,0.803120458,0.05,-1.833661193,1.4200420136
1091,z,-0.186005576,0.8446870999,1520,-0.220206484,0.8257399183,0.05,-1.84288121,1.4708700578
1092,z,-0.146484018,0.8742769844,1520,-0.167548753,0.8669605784,0.05,-1.861400977,1.5684329406
1093,z,-0.084152762,0.9247384701,1520,-0.091001688,0.9275032401,0.05,-1.898051232,1.7297457088
1094,z,-0.107399444,0.9053928156,1520,-0.118621931,0.9055905636,0.05,-1.883350912,1.668552024
1095,z,-0.110780853,0.9027294006,1520,-0.122717675,0.9023468901,0.05,-1.881507963,1.6599462575
1096,z,-0.154072235,0.8684930805,1520,-0.177401799,0.859216431,0.05,-1.857643916,1.549499447
1097,z,-0.105976478,0.9066570194,1520,-0.116887065,0.9069649903,0.05,-1.884407714,1.6724547588
1098,z,-0.145422716,0.8755349627,1520,-0.166095842,0.8681036162,0.05,-1.862807232,1.5719617995
1099,z,-0.148375605,0.8730415832,1520,-0.169952507,0.8650701037,0.05,-1.860869293,1.564118082
1100,z,-0.288699942,0.7741326865,1520,-0.372933409,0.7092500035,0.05,-1.807181265,1.229781382
1101,z,-0.243069194,0.8040578863,1520,-0.302303103,0.7624623726,0.05,-1.820249573,1.3341111845
1102,z,-0.189280212,0.842326169,1520,-0.224711304,0.822234073,0.05,-1.841524819,1.4629643944
1103,z,-0.233399697,0.810579143,1520,-0.287941898,0.7734304689,0.05,-1.82337169,1.3565722952
1104,z,0.7852484053,0.6144033783,1520,1.2780665488,0.2014210995,0.05,-0.419919741,1.9904165522
1105,z,-0.229201725,0.813425605,1520,-0.281773432,0.7781556004,0.05,-1.824757126,1.366353677
1106,z,-0.153388019,0.868915569,1520,-0.176528105,0.8599025874,0.05,-1.857788422,1.5510123849
1107,z,-0.212675049,0.8250478706,1520,-0.257772981,0.796617012,0.05,-1.831027825,1.4056777278
1108,z,-0.130294292,0.8870890441,1520,-0.146878482,0.8832474149,0.05,-1.870342438,1.6097538542
1109,z,-0.214719276,0.8239351297,1520,-0.260602162,0.7944346215,0.05,-1.830889383,1.4014508303
1110,z,-0.092497321,0.9177625668,1520,-0.100785676,0.9197338894,0.05,-1.892712377,1.7077177347
1111,z,-0.169446745,0.8569141699,1520,-0.197740627,0.8432744415,0.05,-1.850306094,1.511412603
1112,z,-0.223276819,0.8175100452,1520,-0.273118135,0.7847995085,0.05,-1.826843956,1.3802903177
1113,z,-0.134948978,0.8833374987,1520,-0.152771707,0.8785985867,0.05,-1.86763837,1.5977404147
1114,z,-0.22135479,0.8192104374,1520,-0.270205042,0.7870391953,0.05,-1.82825729,1.3855477097
1115,z,-0.207470319,0.8291359228,1520,-0.250224738,0.8024473702,0.05,-1.833841916,1.4189012776
1116,z,-0.153464257,0.8689929179,1520,-0.176600124,0.8598460231,0.05,-1.858016383,1.5510878685
1117,z,-0.200518446,0.8337404287,1520,-0.240504645,0.8099714953,0.05,-1.835921901,1.4348850086
1118,z,0.5923759878,0.5467869134,1520,1.0833763084,0.2788132475,0.05,-0.480160711,1.6649126866
1119,z,-0.145687848,0.8751470628,1520,-0.166472418,0.8678073284,0.05,-1.862311488,1.5709357924
1120,z,-0.119603865,0.8955232446,1520,-0.133557522,0.8937701557,0.05,-1.876195914,1.6369881838
1121,z,-0.125166819,0.8910718726,1520,-0.140467703,0.88830908,0.05,-1.873027387,1.6226937482
1122,z,0.9792808115,0.4977784708,1520,1.9673024629,0.0493299676,0.05,0.0028754428,1.9556861802
1123,z,-0.130830212,0.8867589712,1520,-0.147537511,0.8827273413,0.05,-1.870230911,1.608570488
1124,z,-0.23893957,0.8070768962,1520,-0.296055519,0.767228124,0.05,-1.822041814,1.344162675
1125,z,-0.224323242,0.8175952641,1520,-0.274369546,0.7838379266,0.05,-1.828057538,1.3794110541
1126,z,-0.057180145,0.9479030005,1520,-0.06032278,0.9519064887,0.05,-1.916516442,1.8021561527
1127,z,-0.220667458,0.8195039983,1520,-0.269269532,0.7877588227,0.05,-1.828145785,1.3868108693
1128,z,-0.192898905,0.8397904387,1520,-0.229698859,0.8183566869,0.05,-1.840169611,1.4543718005
1129,z,-0.133968797,0.8841946438,1520,-0.151515051,0.879589545,0.05,-1.868339501,1.6004019082
1130,z,-0.195459975,0.8375487008,1520,-0.233371475,0.8155043849,0.05,-1.838333454,1.4474135034
1131,z,-0.108994683,0.9041561715,1520,-0.120548514,0.9040645831,0.05,-1.882520442,1.6645310755
1132,z,-0.148648206,0.8729024249,1520,-0.170291892,0.8648032499,0.05,-1.86086893,1.5635725191
1133,z,-0.180992992,0.8481677773,1520,-0.213392912,0.8310491257,0.05,-1.844696065,1.4827100804
1134,z,0.7833407962,0.6116406195,1520,1.28072069,0.2004871719,0.05,-0.416408128,1.9830897199
1135,z,-0.15526713,0.8674735079,1520,-0.178987748,0.857971176,0.05,-1.856838893,1.5463046337
1136,z,-0.188106736,0.8428254211,1520,-0.223185883,0.8234208273,0.05,-1.841330639,1.4651171665
1137,z,-0.165505692,0.8598335458,1520,-0.192485735,0.8473874538,0.05,-1.852091472,1.5210800878
1138,z,-0.016705738,0.984337333,1520,-0.016971558,0.9864615336,0.05,-1.947508922,1.9140974467
1139,z,0.5900431901,0.5484878881,1520,1.0757633905,0.2822038094,0.05,-0.485830015,1.6659163949
1140,z,-0.120311145,0.8951983894,1520,-0.134396069,0.8931071823,0.05,-1.876265982,1.6356436921
1141,z,-0.215055534,0.8234401592,1520,-0.261167167,0.793998977,0.05,-1.830254742,1.4001436754
1142,z,0.8557101021,0.6394529758,1520,1.3381908201,0.1810343862,0.05,-0.398593479,2.1100136834
1143,z,-0.151096589,0.8706618215,1520,-0.173542225,0.8622483483,0.05,-1.858922313,1.5567291338
1144,z,-0.219986628,0.8199620602,1520,-0.268288788,0.7885134403,0.05,-1.828363455,1.3883902
1145,z,-0.145038158,0.8754942401,1520,-0.16566432,0.8684431573,0.05,-1.862342795,1.5722664797
1146,z,-0.168564697,0.857613927,1520,-0.196550792,0.8442053566,0.05,-1.850796637,1.5136672432
1147,z,1.3661144992,0.5970887477,1520,2.2879588746,0.022276686,0.05,0.1949094491,2.5373195494
1148,z,1.9919172251,0.5088104139,1520,3.9148515258,0.0000944614,0.05,0.9938724142,2.9899620361
