ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
61,z,-0.000381051,0.9997297693,1520,-0.000381154,0.9996959331,0.05,-1.961376898,1.9606147961
62,z,-0.012868,0.9910266103,1520,-0.012984515,0.9896418512,0.05,-1.956792375,1.9310563756
63,z,-0.024307444,0.9831247466,1520,-0.024724679,0.9802778153,0.05,-1.952732109,1.9041172209
64,z,-0.009835398,0.9931100768,1520,-0.009903633,0.9920994728,0.05,-1.957846547,1.938175751
65,z,-0.015469978,0.9891714568,1520,-0.015639329,0.9875241817,0.05,-1.955755422,1.9248154654
66,z,-0.009160452,0.9935846909,1520,-0.009219598,0.9926451388,0.05,-1.958102569,1.9397816647
67,z,-0.033271701,0.9771301312,1520,-0.03405043,0.9728414073,0.05,-1.949937773,1.8833943702
68,z,-0.006147549,0.9956742391,1520,-0.006174257,0.9950744969,0.05,-1.959188369,1.9468932706
69,z,-0.002786271,0.9980305032,1520,-0.00279177,0.9977728592,0.05,-1.960448964,1.9548764212
70,z,-0.005216476,0.9963209942,1520,-0.005235738,0.9958231913,0.05,-1.959525923,1.9490929704
71,z,-0.173748111,0.8966489427,1520,-0.193774958,0.8463779872,0.05,-1.932548246,1.5850520235
72,z,-0.013029891,0.9909190543,1520,-0.013149299,0.9895104051,0.05,-1.956743293,1.9306835103
73,z,-0.031430902,0.9783579216,1520,-0.032126179,0.9743756443,0.05,-1.950505316,1.8876435125
74,z,-0.026354154,0.9817323462,1520,-0.026844541,0.9785872514,0.05,-1.952047589,1.8993392814
75,z,-0.009018961,0.9936861058,1520,-0.009076268,0.9927594764,0.05,-1.958160006,1.9401220832
76,z,-0.003951241,0.997216947,1520,-0.003962269,0.9968390953,0.05,-1.960018122,1.9521156397
77,z,-0.018037065,0.9874786158,1520,-0.018265777,0.9854292259,0.05,-1.955001957,1.9189278276
78,z,-0.016232006,0.9887174771,1520,-0.016417234,0.9869036857,0.05,-1.955626956,1.9231629447
79,z,-0.009243963,0.9935222023,1520,-0.009304234,0.9925776236,0.05,-1.958063507,1.9395755809
80,z,-0.000156891,0.9998887084,1520,-0.000156909,0.9998748251,0.05,-1.961464502,1.961150719
81,z,-0.000109584,0.999922263,1520,-0.000109593,0.9999125721,0.05,-1.961483013,1.9612638443
82,z,-0.018024759,0.987438521,1520,-0.018254057,0.9854385744,0.05,-1.954911004,1.9188614863
83,z,-0.037797049,0.9740343144,1520,-0.038804638,0.9690512427,0.05,-1.948390596,1.8727964974
84,z,-0.005591929,0.9960676873,1520,-0.005614005,0.9955214323,0.05,-1.959404507,1.9482206495
85,z,-0.055715349,0.9621890156,1520,-0.057904786,0.953832082,0.05,-1.943074035,1.8316433371
86,z,-0.002630496,0.9981403254,1520,-0.002635397,0.9978976059,0.05,-1.960508607,1.955247616
87,z,-0.011700786,0.9918593507,1520,-0.011796819,0.9905892664,0.05,-1.957258603,1.9338570316
88,z,-0.050563941,0.9654954819,1520,-0.052370977,0.9582399811,0.05,-1.944408347,1.8432804639
89,z,-0.007017616,0.9950747758,1520,-0.007052351,0.9943740103,0.05,-1.958882573,1.9448473403
90,z,-0.008063714,0.9943305169,1520,-0.008109691,0.9935305376,0.05,-1.958468787,1.9423413601
91,z,-0.086808577,0.9426120731,1520,-0.09209364,0.9266357772,0.05,-1.935766583,1.7621494295
92,z,-0.036349399,0.9751357965,1520,-0.037276243,0.9702696422,0.05,-1.949103532,1.8764047331
93,z,-0.004584032,0.9967629952,1520,-0.004598919,0.99633121,0.05,-1.959760475,1.9505924107
94,z,-0.003451978,0.9975615652,1520,-0.003460416,0.9972394471,0.05,-1.960194837,1.9532908806
95,z,-0.004648805,0.9967229154,1520,-0.004664089,0.9962792206,0.05,-1.95974663,1.9504490205
96,z,-0.019220363,0.9866066763,1520,-0.019481282,0.9844597257,0.05,-1.954474923,1.9160341972
97,z,-0.01259711,0.9911981002,1520,-0.012708973,0.9898616472,0.05,-1.956857867,1.931663647
98,z,-0.023069818,0.9840876303,1520,-0.023442849,0.9813001029,0.05,-1.953383204,1.9072435686
99,z,-0.038926437,0.9732288132,1520,-0.03999721,0.9681006033,0.05,-1.947939972,1.870087098
100,z,-0.0028092,0.9980170131,1520,-0.002814781,0.9977545019,0.05,-1.960445431,1.9548270319
101,z,-0.005630511,0.9960393839,1520,-0.0056529,0.995490404,0.05,-1.959387572,1.9481265493
102,z,-0.018614461,0.987094098,1520,-0.018857838,0.9849569888,0.05,-1.954825111,1.9175961897
103,z,-0.007692049,0.9945987675,1520,-0.007733821,0.9938303799,0.05,-1.958623303,1.9432392051
104,z,-0.001568681,0.9988896992,1520,-0.001570425,0.9987471891,0.05,-1.960916709,1.957779347
105,z,-0.02998982,0.9793720391,1520,-0.030621479,0.9755754328,0.05,-1.951053452,1.8910738119
106,z,-0.004609446,0.9967475514,1520,-0.004624487,0.9963108132,0.05,-1.959755595,1.9505367034
107,z,-0.004243249,0.9970086557,1520,-0.00425598,0.9966047882,0.05,-1.959901561,1.9514150637
108,z,-0.001570376,0.9988888009,1520,-0.001572123,0.9987458344,0.05,-1.960916642,1.95777589
109,z,-0.01213918,0.9915359083,1520,-0.012242804,0.9902335066,0.05,-1.957062556,1.932784197
110,z,-0.029268991,0.9797435182,1520,-0.029874135,0.9761713554,0.05,-1.951061288,1.8925233071
111,z,-0.028222361,0.980520048,1520,-0.028783054,0.9770413948,0.05,-1.951537842,1.8950931196
112,z,-0.031412363,0.978386943,1520,-0.032106278,0.9743915121,0.05,-1.950543703,1.8877189773
113,z,-0.005038872,0.9964466961,1520,-0.005056841,0.9959659058,0.05,-1.959594886,1.949517142
114,z,-0.042902378,0.9710863634,1520,-0.044179776,0.9647669057,0.05,-1.947713442,1.8619086864
115,z,-0.012304043,0.9914195702,1520,-0.012410531,0.990099712,0.05,-1.956999219,1.9323911333
116,z,-0.027304906,0.9811340029,1520,-0.027829945,0.9778014356,0.05,-1.951824675,1.8972148638
117,z,-0.004109932,0.997103986,1520,-0.004121869,0.9967117748,0.05,-1.959955237,1.9517353736
118,z,-0.073044256,0.9510145994,1520,-0.076806661,0.93878746,0.05,-1.938484035,1.7923955232
119,z,-0.004010259,0.9971691758,1520,-0.004021644,0.9967917291,0.05,-1.959983436,1.9519629176
120,z,-0.015666135,0.9890625893,1520,-0.015839377,0.9873646129,0.05,-1.955738032,1.9244057622
121,z,-0.014170024,0.9901050958,1520,-0.014311636,0.9885832346,0.05,-1.956286824,1.927946777
122,z,-0.106531643,0.9306447062,1520,-0.114470799,0.9088797119,0.05,-1.932015348,1.718952063
123,z,-0.004579327,0.9967748484,1520,-0.004594144,0.9963350194,0.05,-1.95977902,1.9506203663
124,z,-0.033339485,0.9769547848,1520,-0.034125924,0.9727812168,0.05,-1.94966161,1.8829826402
125,z,-0.007630979,0.9946274246,1520,-0.007672199,0.9938795378,0.05,-1.958618445,1.9433564864
126,z,-0.009388986,0.9934046709,1520,-0.00945132,0.99246029,0.05,-1.957977988,1.939200017
127,z,-0.016412766,0.9885487035,1520,-0.01660289,0.9867555976,0.05,-1.955476663,1.9226511311
128,z,-0.006485508,0.9954444418,1520,-0.006515188,0.9948025236,0.05,-1.959075574,1.9461045584
129,z,-0.004119835,0.9970991916,1520,-0.004131821,0.9967038358,0.05,-1.959955736,1.9517160658
130,z,-0.002564253,0.998188685,1520,-0.002568907,0.9979506485,0.05,-1.960537224,1.955408717
131,z,-0.004232581,0.9970126037,1520,-0.004245263,0.9966133372,0.05,-1.959898637,1.9514334753
132,z,-0.011275274,0.9920876183,1520,-0.0113652,0.9909335692,0.05,-1.957280844,1.934730296
